Waffensachkunde,1.1.02 Umgang mit einer Schusswaffe hat…,wer damit schießt.,wer die Waffe verbringt oder mitnimmt.,wer die Waffe unbrauchbar macht.,,,,,,,,
Waffensachkunde,1.1.04 Welche der hier genannten Gegenstände sind Schusswaffen im Sinne des Waffengesetzes?,Armbrust,Druckluftgewehr mit Zulassungszeichen „F im Fünfeck“,Doppelflinte,,,,,,,,
Waffensachkunde,"1.1.05 Welche der hier genannten Gegenstände sind Schusswaffen, bzw. ihnen gleichgestellte Gegenstände im Sinne des Waffengesetzes?","Soft-Air-Waffen mit einer Geschossenergie über 0,5 Joule","Waffen mit einer Mündungsenergie von weniger als 7,5 Joule, bei denen die Geschosse durch Federdruck durch einen Lauf getrieben werden",Präzisionsschleudern,,,,,,,,
Waffensachkunde,1.1.06 Welche der aufgeführten Waffen ist eine halbautomatische Schusswaffe im Sinne des Waffengesetzes?,Single-Action-Revolver,Selbstladepistole,Doppelflinte,Double-Action Revolver,,,,,,,
Waffensachkunde,1.1.07 Ein Double-Action-Revolver ist im Sinne des Waffenrechts...,eine vollautomatische Waffe.,keine halbautomatische Waffe.,eine halbautomatische Waffe.,,,,,,,,
Waffensachkunde,1.1.08 Wie ist ein Revolver im „Kleinstkaliber“ 4 mm M20 waffenrechtlich einzuordnen?,WBK-pflichtige Schusswaffe,Für Personen ab 18 Jahren frei erwerbbar,Kann mit einem kleinen Waffenschein erworben werden,,,,,,,,
Waffensachkunde,1.1.10 Was ist die Schließfeder der großkalibrigen Pistole waffenrechtlich gesehen?,Ein Zubehörteil der Schusswaffe ohne waffenrechtliche Bedeutung.,"Ein wesentlicher, erlaubnispflichtiger Teil der Schusswaffe.","Ein wesentlicher, beschusspflichtiger Teil der Schusswaffe.",,,,,,,,
Waffensachkunde,1.1.11 Erläutern Sie den Begriff „Waffe“ im Sinne des WaffG!,Schusswaffen oder ihnen gleichgestellte Gegenstände.,"Tragbare Gegenstände, die ihrem Wesen nach dazu bestimmt sind, die Angriffs- oder Abwehrfähigkeit von Menschen zu beseitigen oder herabzusetzen, insbesondere Hieb- und Stoßwaffen.","Tragbare Gegenstände, die ohne dafür bestimmt zu sein, insbesondere wegen ihrer Beschaffenheit, Handhabung oder Wirkungsweise geeignet sind die Angriffs- oder Abwehrfähigkeit von Menschen zu beseitigen oder herabzusetzen und die im Waffengesetz genannt sind.",,,,,,,,
Waffensachkunde,1.1.12 Wie unterscheidet das Waffengesetz Langwaffen und Kurzwaffen?,"Langwaffen sind Schusswaffen, deren Lauf und Verschluss in geschlossener Stellung insgesamt länger als 30 cm sind und deren kürzeste bestimmungsgemäß verwendbare Gesamtlänge 60 cm überschreitet.","Schusswaffen, die eine Gesamtmindestlänge von 60 cm unterschreiten oder bei denen die Lauflänge kleiner als 30 cm ist, werden als Kurzwaffe bezeichnet.",Kurzwaffen haben maximal eine Länge von 20 cm.,,,,,,,,
Waffensachkunde,1.1.13 Welcher der nebenstehend aufgeführten Gegenstände ist eine verbotene Waffe/ verbotener Gegenstand? (Hinweis: Vollständige Aufzählung s. Anlage 2 Abschnitt 1 Waffengesetz),"Blasrohr, Harpune, Armbrust",halbautomatisches Gewehr / halbautomatische Pistole,"Schlagring, Stockdegen, Würgeholz (Nun-Chaku)","Wurfsterne, bestimmte Hartkernmunition, bestimmte Leuchtspurmunition",,,,,,,
Waffensachkunde,1.1.14 Welcher der nebenstehend aufgeführten Gegenstände ist eine verbotene Waffe?,Samuraischwert,"feststehendes Messer mit einer Klinge von mehr als 8,5 cm",Vorderschaftrepetierflinte mit einer Lauflänge unter 45 cm,,,,,,,,
Waffensachkunde,1.1.15 Bei welchen der aufgeführten Beispiele handelt es sich um „verbotene Waffen“?,Schusswaffen mit Schalldämpfer,"Schusswaffen, die Reihenfeuer (Dauerfeuer) schießen.","Für Schusswaffen bestimmte Vorrichtungen, die das Ziel beleuchten.",Vorderschaftrepetierflinten deren Gesamtlänge in der kürzesten Verwendungsform weniger als 95 cm beträgt.,,,,,,,
Waffensachkunde,1.1.16 Welche der nachfolgend genannten Gegenstände sind gemäß Waffengesetz verboten?,Schalldämpfer,Distanz-Elektroimpulsgeräte,für Schusswaffen bestimmte Zielscheinwerfer,Kleinkaliberpatronen mit Leuchtspurgeschossen,Teleskopschlagstöcke,Büchsenpatronen mit Treibspiegelgeschossen,,,,,
Waffensachkunde,1.1.17 Welche Gegenstände zählen zu den verbotenen Waffen?,Feuerwaffen mit Dauerfeuereinrichtung,Spielzeugwaffen,Schusswaffen mit Schalldämpfer,,,,,,,,
Waffensachkunde,"1.1.18 Erlaubnispflichtig, jedoch keine verbotene Waffe ist...",ein Fallmesser.,eine vollautomatische Pistole.,"eine zivile halbautomatische Schusswaffe, die wie eine vollautomatische Kriegswaffe aussieht.",,,,,,,,
Waffensachkunde,1.1.19 Welches sind wesentliche Teile von Schusswaffen?,der Lauf,das Magazin,der Verschluss,das Griffstück mit Auslösemechanismus bei Kurzwaffen,die Trommel eines Revolvers,das Gehäuse bei Langwaffen,das Zielfernrohr,,,,
Waffensachkunde,1.1.20 Was ist ein Schalldämpfer waffenrechtlich gesehen?,Der Schalldämpfer ist ein verbotener Gegenstand.,Der Schalldämpfer ist immer erlaubnisfreies Zubehör.,Der Schalldämpfer für eine erlaubnispflichtige Schusswaffe steht waffenrechtlich der Schusswaffe gleich für die sie bestimmt ist.,,,,,,,,
Waffensachkunde,1.1.21 Mit welchen Gegenständen (in Verbindung mit einer Schusswaffe) ist der Umgang verboten?,Zielscheinwerfer,Leuchtpunktvisiere für Kurzwaffen,Nachtzielgeräte,,,,,,,,
Waffensachkunde,1.1.22 Mit welcher Munition der Bezeichnung „9 mm Luger“ ist der Umgang verboten?,Hohlspitzpatronen,Kleinschrotpatronen,Leuchtspurpatronen,,,,,,,,
Waffensachkunde,1.1.23 Mit welcher Munition ist der Umgang verboten?,"Kleinschrotmunition für Kartuschenlager bis 12,5 mm (sog. Grenaille-Patronen)","Patronenmunition mit Vollmantelgeschossen, bei denen die Geschossspitze entfernt wurde, so dass der Bleikern freiliegt",Patronenmunition mit Treibspiegelgeschossen für Waffen mit gezogenen Läufen,,,,,,,,
Waffensachkunde,1.1.24 Ist eine Patrone mit WadcutterGeschoss verbotene Munition?,"Ja, denn es handelt sich um ein Dum-Dum-Geschoss.","Nein, es ist Scheibenmunition.",,,,,,,,,
Waffensachkunde,1.1.25 Welche der hier genannten Gegenstände sind keine „wesentlichen Teile“ von Schusswaffen im Sinne des Waffengesetzes?,Wechseltrommel für Revolver,Klappschaft für Flinten,Ersatzmagazin für Büchsen,,,,,,,,
Waffensachkunde,1.1.26 Welche der hier genannten Waffen ist ein Einzellader im Sinne des Waffengesetzes?,halbautomatische Pistole,Doppelflinte,Schreckschussrevolver,,,,,,,,
Waffensachkunde,1.1.27 Welche der hier genannten Waffen sind Mehrlader im Sinne des Waffengesetzes?,Double-Action-Revolver,Repetierbüchse,Doppelflinte,,,,,,,,
Waffensachkunde,1.1.28 Zu welcher Waffenart im Sinne des Waffengesetzes zählt eine Unterhebel-Repetierbüchse (lever-action)?,Einzelladerwaffen,Repetierwaffen,halbautomatische Waffen,,,,,,,,
Waffensachkunde,1.1.29 Was zählt zu den Geschossen im Sinne des Waffengesetzes?,Platzpatronen,Bleirundkugeln für Vorderlader,CO2 - Kartuschen für Druckluftwaffen,,,,,,,,
Waffensachkunde,1.1.31 Welche Munitionsarten sind vom Waffengesetz erfasst?,Patronenmunition,hülsenlose Munition,pyrotechnische Munition,,,,,,,,
